用例分类,用例编号,用例名称,锁定设备,iswait,测试步骤,参数,执行状态,实际结果
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""冰箱里还有鸡蛋吗""
  },
  ""nlg"": {
    
    ""text"": ""冰箱里已经没有鸡蛋了""
  }
}",,
播放控制,player_001,无播放资源时，暂停播放,,,发送“暂停播放”,暂停播放,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""暂停播放""
  },
  ""nlg"": {
    ""code"": 200,
    ""text"": ""想听歌可以对小美说""
  },    
  ""328_fullDuplex"": {""nlg"": {
        ""code"": 200
    }}
}",,
播放控制,player_002,无播放资源时，继续播放,,,发送“继续播放”,继续播放,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""继续播放""
  },
  ""nlg"": {
    ""code"": 200,
    ""text"": ""想听歌可以对小美说""
  },    
  ""328_fullDuplex"": {""nlg"": {
        ""code"": 200
    }}
}",,
播放控制,player_003,无播放资源时，停止播放,,,发送“停止播放”,停止播放,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""停止播放""
  },
  ""nlg"": {
    ""code"": 200,
    ""text"": ""想听歌可以对小美说""
  },    
  ""328_fullDuplex"": {""nlg"": {
        ""code"": 200
    }}
}",,
播放控制,player_004,正常暂停播放,,,发送“来一首歌”,来一首歌,,
,,,,,发送“暂停播放”,暂停播放,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""暂停播放""
  },
  ""nlg"": {
    
    ""text"": ""即将暂停""
  }
}",,
播放控制,player_005,正常继续播放播放,,,发送“来一首歌”,来一首歌,,
,,,,,发送“暂停播放”,暂停播放,,
,,,,,发送“继续播放”,继续播放,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""继续播放""
  },
  ""nlg"": {
    
    ""player"": ""RESUME""
  }
}",,
播放控制,player_006,暂停播放状态，继续暂停播放,,,发送“来一首歌”,来一首歌,,
,,,,,发送“暂停播放”,暂停播放,,
,,,,,发送“暂停播放”,暂停播放,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""暂停播放""
  },
  ""nlg"": {
    
    ""text"": ""即将暂停""
  }
}",,
播放控制,player_007,播放状态，继续播放,,,发送“来一首歌”,来一首歌,,
,,,,,发送“继续播放”,继续播放,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""继续播放""
  },
  ""nlg"": {
    
    ""player"": ""RESUME""
  }
}",,
播放控制,player_008,播放状态，停止播放,,,发送“来一首歌”,来一首歌,,
,,,,,发送“停止播放”,停止播放,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""停止播放""
  },
  ""nlg"": {
    
    ""text"": ""即将停止""
  }
}",,
播放控制,player_009,暂停播放状态，停止播放,,,发送“来一首歌”,来一首歌,,
,,,,,发送“暂停播放”,暂停播放,,
,,,,,发送“停止播放”,停止播放,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""停止播放""
  },
  ""nlg"": {
    
    ""text"": ""即将停止""
  }
}",,
播放控制,player_010,停止播放状态检验,,,发送“来一首歌”,来一首歌,,
,,,,,发送“停止播放”,停止播放,,
,,,,,发送“暂停播放”,暂停播放,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""暂停播放""
  },
  ""nlg"": {
    ""code"": 200,
    ""text"": ""想听歌可以对小美说""
  },    
  ""328_fullDuplex"": {""nlg"": {
        ""code"": 200
    }}
}",,
播放控制,playMode__001,播放控制之单曲循环,,,发送“单曲循环”,单曲循环,,
,,,,,校验-状态是否正确,"{
    ""error_device"": [""3308_halfDuplex""],
    ""asr"": {
        ""text"": ""单曲循环"",
    },
    ""nlg"": {
        ""text"": ""已经打开单曲循环""
    },
    ""order_config"": {
        ""order"": [{
            ""class"": ""playMode"",
            ""playMode"": {
                ""mode"": ""singleCycle""
            }
        }]
    },
    ""3308_halfDuplex"": {""nlg"": {
        ""text"": ""抱歉,暂不支持单曲循环!""
    }
    }
}",,
播放控制,playMode__002,播放控制之列表循环,,,发送“列表循环”,打开列表循环,,
,,,,,校验-状态是否正确,"{
    ""error_device"": [""3308_halfDuplex""],
    ""asr"": {
        ""text"": ""打开列表循环"",
    },
    ""nlg"": {
        ""text"": ""已经打开列表循环""
    },
    ""order_config"": {
        ""order"": [{
            ""class"": ""playMode"",
            ""playMode"": {
                ""mode"": ""listCycle""
            }
        }]
    },
    ""3308_halfDuplex"": {""nlg"": {
        ""text"": ""抱歉,暂不支持列表循环!""
    }
    }
}",,
播放控制,playMode__003,播放控制之随机播放,,,发送“打开随机播放”,打开随机播放,,
,,,,,校验-状态是否正确,"{
    ""error_device"": [""3308_halfDuplex""],
    ""asr"": {
        ""text"": ""打开随机播放"",
    },
    ""nlg"": {
        ""text"": ""已经打开随机播放""
    },
    ""order_config"": {
        ""order"": [{
            ""class"": ""playMode"",
            ""playMode"": {
                ""mode"": ""randomPlay""
            }
        }]
    },
    ""3308_halfDuplex"": {""nlg"": {
        ""text"": ""抱歉,暂不支持随机播放!""
    }
    }
}",,
播放控制,playMode__004,播放控制之顺序播放,,,发送“打开顺序播放”,打开顺序播放,,
,,,,,校验-状态是否正确,"{
    ""error_device"": [""3308_halfDuplex""],
    ""asr"": {
        ""text"": ""打开顺序播放"",
    },
    ""nlg"": {
        ""text"": ""已经打开顺序播放""
    },
    ""order_config"": {
        ""order"": [{
            ""class"": ""playMode"",
            ""playMode"": {
                ""mode"": ""orderPlay""
            }
        }]
    },
    ""3308_halfDuplex"": {""nlg"": {
        ""text"": ""抱歉,暂不支持顺序播放!""
    }
    }
}",,
音量调节,volume_001,音量档位调节为一档,,,发送“音量设为一档”,音量设为一档,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""音量设为一档""
  },
  ""nlg"": {
    
    ""text"": ""调为一档""
  }
}",,
音量调节,volume_002,检查音量调节一档是否成功,,,发送“音量设为一档”,音量设为一档,,
,,,,,发送“当前音量是多少”,当前音量是多少,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""当前音量是多少""
  },
  ""nlg"": {
    
    ""text"": ""当前音量为1%""
  }
}",,
音量调节,volume_003,音量档位调节为二档,,,发送“音量设为二档”,音量设为二档,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""音量设为二档""
  },
  ""nlg"": {
    
    ""text"": ""调为二档""
  }
}",,
音量调节,volume_004,检查音量调节二档是否成功,,,发送“音量设为二档”,音量设为二档,,
,,,,,发送“当前音量是多少”,当前音量是多少,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""当前音量是多少""
  },
  ""nlg"": {
    
    ""text"": ""当前音量为25%""
  }
}",,
音量调节,volume_005,音量档位调节为三档,,,发送“音量设为三档”,音量设为三档,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""音量设为三档""
  },
  ""nlg"": {
    
    ""text"": ""调为三档""
  }
}",,
音量调节,volume_006,检查音量调节三档是否成功,,,发送“音量设为三档”,音量设为三档,,
,,,,,发送“当前音量是多少”,当前音量是多少,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""当前音量是多少""
  },
  ""nlg"": {
    
    ""text"": ""当前音量为50%""
  }
}",,
音量调节,volume_007,音量档位调节为四档,,,发送“音量设为四档”,音量设为四档,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""音量设为四档""
  },
  ""nlg"": {
    
    ""text"": ""调为四档""
  }
}",,
音量调节,volume_008,检查音量调节四档是否成功,,,发送“音量设为四档”,音量设为四档,,
,,,,,发送“当前音量是多少”,当前音量是多少,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""当前音量是多少""
  },
  ""nlg"": {
    
    ""text"": ""当前音量为75%""
  }
}",,
音量调节,volume_009,音量档位调节为五档,,,发送“音量设为五档”,音量设为五档,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""音量设为五档""
  },
  ""nlg"": {
    
    ""text"": ""调为五档""
  }
}",,
音量调节,volume_010,检查音量调节五档是否成功,,,发送“音量设为五档”,音量设为五档,,
,,,,,发送“当前音量是多少”,当前音量是多少,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""当前音量是多少""
  },
  ""nlg"": {
    
    ""text"": ""当前音量为100%""
  }
}",,
音量调节,volume_011,音量档位调节为最小档,,,发送“音量最小”,音量最小,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""音量最小""
  },
  ""nlg"": {
    
    ""text"": ""调为最小音量""
  }
}",,
音量调节,volume_012,检查音量调节最小是否成功,,,发送“音量最小”,音量最小,,
,,,,,发送“当前音量是多少”,当前音量是多少,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""当前音量是多少""
  },
  ""nlg"": {
    
    ""text"": ""当前音量为1%""
  }
}",,
音量调节,volume_013,音量档位调节为最大档,,,发送“音量最大”,音量最大,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""音量最大""
  },
  ""nlg"": {
    
    ""text"": ""调为最大音量""
  }
}",,
音量调节,volume_014,检查音量调节最大是否成功,,,发送“音量最大”,音量最大,,
,,,,,发送“当前音量是多少”,当前音量是多少,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""当前音量是多少""
  },
  ""nlg"": {
    
    ""text"": ""当前音量为100%""
  }
}",,
音量调节,volume_015,档位调节超出预设档位,,,发送“音量设为六档”,音量设为六档,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""音量设为六档""
  },
  ""nlg"": {
    
    ""text"": ""音量范围是一到五档""
  }
}",,
音量调节,volume_016,百分比音量调节—20%,,,发送“音量设为百分之二十”,音量设为百分之二十,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""音量设为百分之二十""
  },
  ""nlg"": {
    
    ""text"": ""音量已调到百分之20""
  }
}",,
音量调节,volume_017,检查百分比音量调节—20%,,,发送“音量设为百分之二十”,音量设为百分之二十,,
,,,,,发送“当前音量是多少”,当前音量是多少,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""当前音量是多少""
  },
  ""nlg"": {
    
    ""text"": ""当前音量为20%""
  }
}",,
音量调节,volume_018,百分比音量调节—60%,,,发送“音量设为百分之六十”,音量设为百分之六十,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""音量设为百分之六十""
  },
  ""nlg"": {
    
    ""text"": ""音量已调到百分之60""
  }
}",,
音量调节,volume_019,检查百分比音量调节—60%,,,发送“音量设为百分之六十”,音量设为百分之六十,,
,,,,,发送“当前音量是多少”,当前音量是多少,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""当前音量是多少""
  },
  ""nlg"": {
    
    ""text"": ""当前音量为60%""
  }
}",,
音量调节,volume_020,百分比音量调节—1%,,,发送“音量设为百分之一”,音量设为百分之一,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""音量设为百分之一""
  },
  ""nlg"": {
    
    ""text"": ""音量已调到百分之1""
  }
}",,
音量调节,volume_021,检查百分比音量调节—1%,,,发送“音量设为百分之一”,音量设为百分之一,,
,,,,,发送“当前音量是多少”,当前音量是多少,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""当前音量是多少""
  },
  ""nlg"": {
    
    ""text"": ""当前音量为1%""
  }
}",,
音量调节,volume_022,百分比音量调节—100%,,,发送“音量设为百分之一”,音量设为百分之一百,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""音量设为百分之一百""
  },
  ""nlg"": {
    
    ""text"": ""音量已调到百分之1""
  }
}",,
音量调节,volume_023,检查百分比音量调节—100%,,,发送“音量设为百分之一百”,音量设为百分之一百,,
,,,,,发送“当前音量是多少”,当前音量是多少,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""当前音量是多少""
  },
  ""nlg"": {
    
    ""text"": ""当前音量为100%""
  }
}",,
音量调节,volume_024,音量百分比调节超出范围,,,发送“音量设为百分之一百二”,音量设为百分之一百二,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""音量设为百分之一百二""
  },
  ""nlg"": {
    
    ""text"": ""音量最大为百分之一百，已为您调到最大音量""
  }
}",,
闹钟技能,alarm_001,无闹钟时查询闹钟,,,重置所有闹钟,删除所有闹钟,,
,,,,,发送我有几个闹钟,我有几个闹钟,,
,,,,,校验-状态是否正确,"{""asr"": {
    
    ""text"": ""我有几个闹钟""
  },
  ""nlg"": {
    
    ""text"": ""你还没有设置闹钟""
  }
}",,
闹钟技能,alarm_002,到时间点时闹钟响起,,1,发送“删除所有闹钟”,删除所有闹钟,,
,,,,,发送帮我定个1分钟后的闹钟,帮我定个一分钟后的闹钟,,
,,,,,校验-状态是否正确,"{
    ""asr"": {
        ""text"": ""帮我定个一分钟后的闹钟""
    },
    ""nlg"": {
        ""text"": ""闹钟定好喽""
    },
    ""clock"": {
        ""url"": ""https://midea-ai-public-resource.oss-cn-hangzhou.aliyuncs.com/audio/clock.mp3""
    }}",,
闹钟技能,alarm_003,闹钟过期后查询闹钟,,1,重置所有闹钟,删除所有闹钟,,
,,,,,发送帮我定个1分钟后的闹钟,帮我定个一分钟后的闹钟,,
,,,,,发送我有几个闹钟,我有几个闹钟,,
,,,,,校验-状态是否正确,"{""asr"": {
    
    ""text"": ""我有几个闹钟""
  },
  ""nlg"": {
    
    ""text"": ""你还没有设置闹钟""
  }
}",,
闹钟技能,alarm_004,删除闹钟后查询闹钟,,,发送帮我定个2分钟后的闹钟,帮我定个两分钟后的闹钟,,
,,,,,发送删除所有闹钟,删除所有闹钟,,
,,,,,发送我有几个闹钟,我有几个闹钟,,
,,,,,校验-状态是否正确,"{""asr"": {
    
    ""text"": ""我有几个闹钟""
  },
  ""nlg"": {
    
    ""text"": ""你还没有设置闹钟""
  }
}",,
闹钟技能,alarm_005,今明2天都有闹钟，查询闹钟,,,重置闹钟,删除所有的闹钟,,
,,,,,重置提醒,删除所有的提醒,,
,,,,,发送帮我定个今天晚上十一点,帮我定个晚上十一点五十九分的闹钟,,
,,,,,发送帮我定个明天上午10点的闹钟,帮我定个明天上午十点的闹钟,,
,,,,,发送我有几个闹钟,我有几个闹钟,,
,,,,,校验-状态是否正确,"{""asr"": {
    
    ""text"": ""我有几个闹钟""
  },
  ""nlg"": {
    
    ""text"": ""有2个闹钟分别是今天深夜23点59分、和明天上午10点""
  }
}",,
闹钟技能,alarm_006,同一时间点已有提醒，重复设闹钟,,,重置闹钟,删除所有的闹钟,,
,,,,,重置提醒,删除所有的提醒,,
,,,,,发送明天上午10点15分提醒我开会,明天上午十点十五分提醒我开会,,
,,,,,发送帮我定个明天上午10点15分的闹钟,帮我定个明天上午十点十五分的闹钟,,
,,,,,发送我有几个闹钟,我有几个闹钟,,
,,,,,校验-状态是否正确,"{""asr"": {
    
    ""text"": ""我有几个闹钟""
  },
  ""nlg"": {
    
    ""text"": ""你还没有设置闹钟""
  }
}",,
闹钟技能,alarm_007,已有上午的提醒，设定下午同时间点的闹钟,,,重置闹钟,删除所有的闹钟,,
,,,,,重置提醒,删除所有的提醒,,
,,,,,发送明天上午10点15分提醒我开会,明天上午十点十五分提醒我开会,,
,,,,,发送帮我定个明天晚上10点15分的闹钟,帮我定个明天晚上十点十五分的闹钟,,
,,,,,发送我有几个闹钟,我有几个闹钟,,
,,,,,校验-状态是否正确,"{""asr"": {
    
    ""text"": ""我有几个闹钟""
  },
  ""nlg"": {
    
    ""text"": ""有1个闹钟是明天晚上22点15分""
  }
}",,
闹钟技能,alarm_008,设置闹钟时无明确的时间点，进入多轮,,,重置闹钟,删除所有的闹钟,,
,,,,,重置提醒,删除所有的提醒,,
,,,,,发送帮我定个闹钟,帮我定个闹钟,,
,,,,,发送晚上23点20分的,晚上二十三点五十九分的,,
,,,,,校验-状态是否正确,"{""asr"": {
    
    ""text"": ""晚上二十三点五十九分的""
  },
  ""nlg"": {
    
    ""text"": ""好的，今天深夜23点59分的闹钟定好喽""
  }
}",,
闹钟技能,alarm_009,设置闹钟的时间点上下午都满足，进入多轮,,,重置闹钟,删除所有的闹钟,,
,,,,,重置提醒,删除所有的提醒,,
,,,,,发送帮我定个明天11点15分的闹钟,帮我订个明天十点十五分的闹钟,,
,,,,,校验-状态是否正确,"{""asr"": {
    
    ""text"": ""帮我订个明天十点十五分的闹钟""
  },
  ""nlg"": {
    
    ""text"": ""明天上午10点15分的闹钟定好喽""
  }
}",,
闹钟技能,alarm_010,不同日期都有闹钟，查询明天的闹钟,,,重置闹钟,删除所有的闹钟,,
,,,,,重置提醒,删除所有的提醒,,
,,,,,发送帮我定个2分钟后的闹钟,帮我定个晚上十一点五十九分的闹钟,,
,,,,,发送帮我定个明天上午10点15分的闹钟,帮我定个明天上午十点十五分的闹钟,,
,,,,,发送帮我定个明天晚上10点15分的闹钟,帮我定个明天晚上十点十五分的闹钟,,
,,,,,发送我明天有几个闹钟,我明天有几个闹钟,,
,,,,,校验-状态是否正确,"{""asr"": {
    
    ""text"": ""我明天有几个闹钟""
  },
  ""nlg"": {
    
    ""text"": ""有2个闹钟分别是明天上午10点15分、和明天晚上22点15分""
  }
}",,
闹钟技能,alarm_011,不同日期都有闹钟，删除指定日期存在的闹钟,,,重置闹钟,删除所有的闹钟,,
,,,,,重置提醒,删除所有的提醒,,
,,,,,发送帮我定个2分钟后的闹钟,帮我定个晚上十一点五十九分的闹钟,,
,,,,,发送帮我定个明天上午10点15分的闹钟,帮我定个明天上午十点十五分的闹钟,,
,,,,,发送帮我定个明天晚上10点15分的闹钟,帮我定个明天晚上十点十五分的闹钟,,
,,,,,发送删除明天的闹钟,删除明天的闹钟,,
,,,,,发送我有几个闹钟,我有几个闹钟,,
,,,,,校验-状态是否正确,"{""asr"": {
    
    ""text"": ""我有几个闹钟""
  },
  ""nlg"": {
    
    ""text"": ""有1个闹钟是今天深夜23点59分""
  }
}",,
闹钟技能,alarm_012,不同日期都有闹钟，删除指定日期无闹钟的,,,重置闹钟,删除所有的闹钟,,
,,,,,重置提醒,删除所有的提醒,,
,,,,,发送帮我定个明天上午10点15分的闹钟,帮我定个明天上午十点十五分的闹钟,,
,,,,,发送帮我定个明天晚上10点15分的闹钟,帮我定个明天晚上十点十五分的闹钟,,
,,,,,发送删除今天的闹钟,删除今天的闹钟,,
,,,,,校验-状态是否正确,"{""asr"": {
    
    ""text"": ""删除今天的闹钟""
  },
  ""nlg"": {
    
    ""text"": ""你还没有设置今天的闹钟""
  }
}",,
闹钟技能,alarm_013,该时间点无闹钟，删除闹钟,,,重置闹钟,删除所有闹钟,,
,,,,,重置提醒,删除所有的提醒,,
,,,,,发送帮我定个明天上午10点15分的闹钟,帮我定个明天上午十点十五分的闹钟,,
,,,,,发送取消明天上午10点的闹钟,取消明天上午十点的闹钟,,
,,,,,校验-状态是否正确,"{""asr"": {
    
    ""text"": ""取消明天上午十点的闹钟""
  },
  ""nlg"": {
    
    ""text"": ""你还没有设置明天上午10点的闹钟""
  }
}",,
闹钟技能,alarm_014,无闹钟时，删除闹钟,,,重置闹钟,删除所有闹钟,,
,,,,,发送删除所有闹钟,删除所有闹钟,,
,,,,,校验-状态是否正确,"{""asr"": {
    
    ""text"": ""删除所有闹钟""
  },
  ""nlg"": {
    
    ""text"": ""你还没有设置闹钟""
  }
}",,
闹钟技能,alarm_015,明天上下午都有该时间点的闹钟，删除闹钟时，进入多轮,,,重置闹钟,删除所有闹钟,,
,,,,,重置提醒,删除所有的提醒,,
,,,,,发送帮我定个明天上午10点15分的闹钟,帮我定个明天上午十点十五分的闹钟,,
,,,,,发送帮我定个明天晚上10点15分的闹钟,帮我定个明天晚上十点十五分的闹钟,,
,,,,,发送取消明天10点15分的闹钟,取消明天十点十五分的闹钟,,
,,,,,发送明天晚上的,明天晚上的,,
,,,,,发送我有几个闹钟,我有几个闹钟,,
,,,,,校验-状态是否正确,"{""asr"": {
    
    ""text"": ""我有几个闹钟""
  },
  ""nlg"": {
    
    ""text"": ""有1个闹钟是明天上午10点15分""
  }
}",,
闹钟技能,alarm_016,该时间点有提醒无闹钟，删除闹钟,,,重置闹钟,删除所有闹钟,,
,,,,,重置提醒,删除所有的提醒,,
,,,,,发送明天上午10点15分提醒我开会,明天上午十点十五分提醒我开会,,
,,,,,发送取消明天上午10点15分的闹钟,取消明天上午十点十五分的闹钟,,
,,,,,校验-状态是否正确,"{""asr"": {
    
    ""text"": ""取消明天上午十点十五分的闹钟""
  },
  ""nlg"": {
    
    ""text"": ""你还没有设置明天上午10点15分的闹钟""
  }
}",,
闹钟技能,alarm_017,该日期有提醒无闹钟，删除闹钟,,,重置闹钟,删除所有闹钟,,
,,,,,重置提醒,删除所有的提醒,,
,,,,,发送明天上午10点15分提醒我开会,明天上午十点十五分提醒我开会,,
,,,,,发送删除明天的闹钟,删除明天的闹钟,,
,,,,,发送我有几个提醒,我有几个提醒,,
,,,,,校验-状态是否正确,"{""asr"": {
    
    ""text"": ""我有几个提醒""
  },
  ""nlg"": {
    
    ""text"": ""有1个提醒是明天上午10点15分提醒你开会""
  }
}",,
闹钟技能,alarm_018,要定的时间点小于当前时间,,,重置闹钟,删除所有闹钟,,
,,,,,重置提醒,删除所有的提醒,,
,,,,,发送帮我定个{clock_time}的闹钟,帮我定个{clock_time}的闹钟,,
,,,,,校验-状态是否正确,"{""asr"": {
    
    ""text"": ""帮我定个{clock_time}的闹钟""
  },
  ""nlg"": {
    
    ""text"": ""clock_respone""
  }
}",,
自定义设备名,pickname_001,打开自定义设备名,,,发送打开自定义设备名,打开自定义设备名,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""打开自定义设备名""
  },
  ""nlg"": {
    
    ""text"": ""马上开启，这个功能需要您把家电名尽量改为纯中文，感谢理解""
  }
}",,
自定义设备名,pickname_001,纯中文自定义设备名,,,发送打开大白,打开大白,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""打开大白""
  },
  ""nlg"": {
    
    ""text"": ""马上打开""
  },
  ""device_status"": {
    
    ""power"": ""on""
  }
}",,
自定义设备名,pickname_001,纯英文自定义设备名,,,发送打开大白,打开大白,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""打开大白""
  },
  ""nlg"": {
    
    ""text"": ""马上打开""
  },
  ""device_status"": {
    
    ""power"": ""on""
  }
}",,
